Word,Sets,Source,Checks,Score,Synonyms,Generated,Added
a-bomb,FACE LOT,Armstrong,2,0,False,False,2025-09-08
a-level,DRESS FACE,Armstrong,2,0,False,False,2025-09-08
aachen,PALM,Armstrong,2,0,False,False,2025-09-08
aardvark,START,Armstrong,2,0,False,False,2025-09-08
aaron,SQUARE,Armstrong,2,0,False,False,2025-09-08
abandon,TRAP COMMA,Armstrong,2,0,False,False,2025-09-08
abba,TRAP COMMA,Armstrong,2,0,False,False,2025-09-08
abbatial,FACE,Armstrong,2,0,False,False,2025-09-08
abbey,TRAP HAPPY,Armstrong,2,0,False,False,2025-09-08
abdominal,TRAP LOT KIT,Armstrong,2,0,False,False,2025-09-08
abduct,TRAP STRUT,Armstrong,2,0,False,False,2025-09-08
abdullah,TRAP GOOSE,Armstrong,2,0,False,False,2025-09-08
abel,FACE,Armstrong,2,0,False,False,2025-09-08
abercrombie,TRAP LOT HAPPY LETTER,Armstrong,2,0,False,False,2025-09-08
aberdeen,TRAP FLEECE LETTER,Armstrong,2,0,False,False,2025-09-08
abernathy,TRAP LETTER HAPPY,Armstrong,2,0,False,False,2025-09-08
abidjan,FLEECE TRAP PALM,Armstrong,2,0,False,False,2025-09-08
abigail,FACE KIT TRAP,Armstrong,2,0,False,False,2025-09-08
ability,COMMA KIT HAPPY,Armstrong,2,0,False,False,2025-09-08
abkhaz,PALM,Armstrong,2,0,False,False,2025-09-08
ablation,TRAP FACE,Armstrong,2,0,False,False,2025-09-08
able,FACE,Armstrong,2,0,False,False,2025-09-08
ableism,FACE KIT,Armstrong,2,0,False,False,2025-09-08
ablution,GOOSE,Armstrong,2,0,False,False,2025-09-08
abnormal,TRAP NORTH,Armstrong,2,0,False,False,2025-09-08
abode,GOAT COMMA,Armstrong,2,0,False,False,2025-09-08
abort,NORTH,Armstrong,2,0,False,False,2025-09-08
abortion,NORTH,Armstrong,2,0,False,False,2025-09-08
about,MOUTH,Armstrong,2,0,False,False,2025-09-08
above,STRUT COMMA,Armstrong,2,0,False,False,2025-09-08
aboyne,CHOICE,Armstrong,2,0,False,False,2025-09-08
abraham,TRAP FACE,Armstrong,2,0,False,False,2025-09-08
abrasion,FACE,Armstrong,2,0,False,False,2025-09-08
abroad,COMMA THOUGHT,Armstrong,2,0,False,False,2025-09-08
abs,TRAP,Armstrong,2,0,False,False,2025-09-08
abscission,TRAP KIT,Armstrong,2,0,False,False,2025-09-08
absence,TRAP,Armstrong,2,0,False,False,2025-09-08
absent,COMMA TRAP,Armstrong,2,0,False,False,2025-09-08
absentia,TRAP DRESS,Armstrong,2,0,False,False,2025-09-08
absolute,TRAP GOOSE (COMMA),Armstrong,2,0,False,False,2025-09-08
absolutely,TRAP GOOSE HAPPY,Armstrong,2,0,False,False,2025-09-08
